salinity (g/l),temperature (C)
5.5,-70.0
5.3,-70.0
5.0,-70.0
4.5,-70.0
4.0,-70.0
1.0,-70.0
3.5,-60.0
2.25,-50.0
2.0,-50.0
1.0,-50.0
1.15,-40.0
1.0,-40.0
0.0,-40.0
0.0,-40.0
0.0,-40.0
1.0,-30.0
1.0,-30.0
1.0,-30.0
0.31,-30.0
0.3,-30.0
0.3,-30.0
0.25,-30.0
0.25,-30.0
0.25,-30.0
0.2,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.0,-30.0
0.27,-20.0
0.2,-10.0
0.15,-10.0
0.0,-5.0
0.0,-5.0
